"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1999","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","874,023",""
"1999","Estonia","Age in completed years","Total","Number","Total",":",""
"1999","Ireland","Age in completed years","Total","Number","Total","51,675",""
"1999","Greece","Age in completed years","Total","Number","Total","84,695",""
"1999","Spain","Age in completed years","Total","Number","Total","127,365",""
"1999","France","Age in completed years","Total","Number","Total",":",""
"1999","Croatia","Age in completed years","Total","Number","Total","32,910",""
"1999","Italy","Age in completed years","Total","Number","Total","185,052",""
"1999","Cyprus","Age in completed years","Total","Number","Total","8,524",""
"1999","Latvia","Age in completed years","Total","Number","Total","1,813",""
"1999","Lithuania","Age in completed years","Total","Number","Total","2,679",""
"1999","Luxembourg","Age in completed years","Total","Number","Total","12,794",""
"1999","Hungary","Age in completed years","Total","Number","Total","21,422",""
"1999","Malta","Age in completed years","Total","Number","Total",":",""
"1999","Netherlands","Age in completed years","Total","Number","Total","119,151",""
"1999","Austria","Age in completed years","Total","Number","Total","86,710",""
"1999","Poland","Age in completed years","Total","Number","Total","7,525",""
"1999","Portugal","Age in completed years","Total","Number","Total","68,297",""
"1999","Romania","Age in completed years","Total","Number","Total",":",""
"1999","Slovenia","Age in completed years","Total","Number","Total","4,941",""
"1999","Slovakia","Age in completed years","Total","Number","Total","2,072",""
"1999","Finland","Age in completed years","Total","Number","Total","14,744",""
"1999","Sweden","Age in completed years","Total","Number","Total","49,839",""
"1999","United Kingdom","Age in completed years","Total","Number","Total","354,077",""
"1999","Iceland","Age in completed years","Total","Number","Total","4,785",""
"1999","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1999","Norway","Age in completed years","Total","Number","Total","41,841",""
"1999","Switzerland","Age in completed years","Total","Number","Total","107,953",""
"2000","Belgium","Age in completed years","Total","Number","Total","89,388",""
"2000","Bulgaria","Age in completed years","Total","Number","Total",":",""
"2000","Czechia","Age in completed years","Total","Number","Total",":",""
"2000","Denmark","Age in completed years","Total","Number","Total","52,915",""
"2000","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","841,158",""
"2000","Estonia","Age in completed years","Total","Number","Total","35",""
"2000","Ireland","Age in completed years","Total","Number","Total","57,400",""
"2000","Greece","Age in completed years","Total","Number","Total","109,251",""
"2000","Spain","Age in completed years","Total","Number","Total","362,468",""
"2000","France","Age in completed years","Total","Number","Total",":",""
"2000","Croatia","Age in completed years","Total","Number","Total",":",""
"2000","Italy","Age in completed years","Total","Number","Total","226,968",""
"2000","Cyprus","Age in completed years","Total","Number","Total","12,764",""
"2000","Latvia","Age in completed years","Total","Number","Total","6,483",""
"2000","Lithuania","Age in completed years","Total","Number","Total","1,510",""
"2000","Luxembourg","Age in completed years","Total","Number","Total","11,765",""
"2000","Hungary","Age in completed years","Total","Number","Total","21,726",""
"2000","Malta","Age in completed years","Total","Number","Total",":",""
"2000","Netherlands","Age in completed years","Total","Number","Total","132,850",""
"2000","Austria","Age in completed years","Total","Number","Total","81,676",""
"2000","Poland","Age in completed years","Total","Number","Total","7,331",""
"2000","Portugal","Age in completed years","Total","Number","Total","77,775",""
"2000","Romania","Age in completed years","Total","Number","Total",":",""
"2000","Slovenia","Age in completed years","Total","Number","Total","6,185",""
"2000","Slovakia","Age in completed years","Total","Number","Total","2,274",""
"2000","Finland","Age in completed years","Total","Number","Total","16,895",""
"2000","Sweden","Age in completed years","Total","Number","Total","58,659",""
"2000","United Kingdom","Age in completed years","Total","Number","Total","364,367",""
"2000","Iceland","Age in completed years","Total","Number","Total","5,203",""
"2000","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"2000","Norway","Age in completed years","Total","Number","Total","36,542",""
"2000","Switzerland","Age in completed years","Total","Number","Total","110,302",""
"2001","Belgium","Age in completed years","Total","Number","Total","110,410",""
"2001","Bulgaria","Age in completed years","Total","Number","Total",":",""
"2001","Czechia","Age in completed years","Total","Number","Total","12,918",""
"2001","Denmark","Age in completed years","Total","Number","Total","55,984",""
"2001","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","879,217",""
"2001","Estonia","Age in completed years","Total","Number","Total","241",""
"2001","Ireland","Age in completed years","Total","Number","Total","64,925",""
"2001","Greece","Age in completed years","Total","Number","Total","98,471",""
"2001","Spain","Age in completed years","Total","Number","Total","414,772",""
"2001","France","Age in completed years","Total","Number","Total",":",""
"2001","Croatia","Age in completed years","Total","Number","Total","24,415",""
"2001","Italy","Age in completed years","Total","Number","Total","208,252",""
"2001","Cyprus","Age in completed years","Total","Number","Total","17,485",""
"2001","Latvia","Age in completed years","Total","Number","Total","5,376",""
"2001","Lithuania","Age in completed years","Total","Number","Total","4,694",""
"2001","Luxembourg","Age in completed years","Total","Number","Total","12,135",""
"2001","Hungary","Age in completed years","Total","Number","Total","22,079",""
"2001","Malta","Age in completed years","Total","Number","Total",":",""
"2001","Netherlands","Age in completed years","Total","Number","Total","133,404",""
"2001","Austria","Age in completed years","Total","Number","Total","89,928",""
"2001","Poland","Age in completed years","Total","Number","Total","6,625",""
"2001","Portugal","Age in completed years","Total","Number","Total","61,609",""
"2001","Romania","Age in completed years","Total","Number","Total",":",""
"2001","Slovenia","Age in completed years","Total","Number","Total","7,803",""
"2001","Slovakia","Age in completed years","Total","Number","Total","2,023",""
"2001","Finland","Age in completed years","Total","Number","Total","18,955",""
"2001","Sweden","Age in completed years","Total","Number","Total","60,795",""
"2001","United Kingdom","Age in completed years","Total","Number","Total","372,206",""
"2001","Iceland","Age in completed years","Total","Number","Total","5,002",""
"2001","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"2001","Norway","Age in completed years","Total","Number","Total","34,264",""
"2001","Switzerland","Age in completed years","Total","Number","Total","124,077",""
"2002","Belgium","Age in completed years","Total","Number","Total","113,857",""
"2002","Bulgaria","Age in completed years","Total","Number","Total",":",""
"2002","Czechia","Age in completed years","Total","Number","Total","44,679",""
"2002","Denmark","Age in completed years","Total","Number","Total","52,778",""
"2002","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","842,543",""
"2002","Estonia","Age in completed years","Total","Number","Total","575",""
"2002","Ireland","Age in completed years","Total","Number","Total","61,725",""
"2002","Greece","Age in completed years","Total","Number","Total","67,220",""
"2002","Spain","Age in completed years","Total","Number","Total","483,260",""
"2002","France","Age in completed years","Total","Number","Total",":",""
"2002","Croatia","Age in completed years","Total","Number","Total","20,365",""
"2002","Italy","Age in completed years","Total","Number","Total","213,202",""
"2002","Cyprus","Age in completed years","Total","Number","Total","6,940",""
"2002","Latvia","Age in completed years","Total","Number","Total","6,642",""
"2002","Lithuania","Age in completed years","Total","Number","Total","5,110",""
"2002","Luxembourg","Age in completed years","Total","Number","Total","12,101",""
"2002","Hungary","Age in completed years","Total","Number","Total","19,855",""
"2002","Malta","Age in completed years","Total","Number","Total",":",""
"2002","Netherlands","Age in completed years","Total","Number","Total","121,250",""
"2002","Austria","Age in completed years","Total","Number","Total","108,125","b"
"2002","Poland","Age in completed years","Total","Number","Total","6,587",""
"2002","Portugal","Age in completed years","Total","Number","Total","50,611",""
"2002","Romania","Age in completed years","Total","Number","Total",":",""
"2002","Slovenia","Age in completed years","Total","Number","Total","9,134",""
"2002","Slovakia","Age in completed years","Total","Number","Total","2,312",""
"2002","Finland","Age in completed years","Total","Number","Total","18,113",""
"2002","Sweden","Age in completed years","Total","Number","Total","64,087",""
"2002","United Kingdom","Age in completed years","Total","Number","Total","385,901",""
"2002","Iceland","Age in completed years","Total","Number","Total","4,215",""
"2002","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"2002","Norway","Age in completed years","Total","Number","Total","40,122",""
"2002","Switzerland","Age in completed years","Total","Number","Total","127,340",""
"2003","Belgium","Age in completed years","Total","Number","Total","112,060",""
"2003","Bulgaria","Age in completed years","Total","Number","Total",":",""
"2003","Czechia","Age in completed years","Total","Number","Total","60,015",""
"2003","Denmark","Age in completed years","Total","Number","Total","49,754",""
"2003","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","768,975",""
"2003","Estonia","Age in completed years","Total","Number","Total","967",""
"2003","Ireland","Age in completed years","Total","Number","Total","58,875",""
"2003","Greece","Age in completed years","Total","Number","Total","63,141",""
"2003","Spain","Age in completed years","Total","Number","Total","470,010",""
"2003","France","Age in completed years","Total","Number","Total",":",""
"2003","Croatia","Age in completed years","Total","Number","Total","18,455",""
"2003","Italy","Age in completed years","Total","Number","Total","440,301",""
"2003","Cyprus","Age in completed years","Total","Number","Total","7,981",""
"2003","Latvia","Age in completed years","Total","Number","Total","4,063",""
"2003","Lithuania","Age in completed years","Total","Number","Total","4,728",""
"2003","Luxembourg","Age in completed years","Total","Number","Total","13,158",""
"2003","Hungary","Age in completed years","Total","Number","Total","21,327",""
"2003","Malta","Age in completed years","Total","Number","Total",":",""
"2003","Netherlands","Age in completed years","Total","Number","Total","104,514",""
"2003","Austria","Age in completed years","Total","Number","Total","111,869",""
"2003","Poland","Age in completed years","Total","Number","Total","7,048",""
"2003","Portugal","Age in completed years","Total","Number","Total","31,425",""
"2003","Romania","Age in completed years","Total","Number","Total",":",""
"2003","Slovenia","Age in completed years","Total","Number","Total","9,279",""
"2003","Slovakia","Age in completed years","Total","Number","Total","2,603",""
"2003","Finland","Age in completed years","Total","Number","Total","17,838",""
"2003","Sweden","Age in completed years","Total","Number","Total","63,795",""
"2003","United Kingdom","Age in completed years","Total","Number","Total","431,487",""
