"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"1997","Belgium","Total","Age in completed years","Number","Total","39,320",""
"1997","Bulgaria","Total","Age in completed years","Number","Total",":",""
"1997","Czechia","Total","Age in completed years","Number","Total",":",""
"1997","Denmark","Total","Age in completed years","Number","Total","38,393",""
"1997","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","746,969",""
"1997","Estonia","Total","Age in completed years","Number","Total","4,071",""
"1997","Ireland","Total","Age in completed years","Number","Total","27,775",""
"1997","Greece","Total","Age in completed years","Number","Total","51,794",""
"1997","Spain","Total","Age in completed years","Number","Total",":",""
"1997","France","Total","Age in completed years","Number","Total",":",""
"1997","Croatia","Total","Age in completed years","Number","Total","18,531",""
"1997","Italy","Total","Age in completed years","Number","Total","46,273",""
"1997","Cyprus","Total","Age in completed years","Number","Total",":",""
"1997","Latvia","Total","Age in completed years","Number","Total","12,333",""
"1997","Lithuania","Total","Age in completed years","Number","Total","24,957",""
"1997","Luxembourg","Total","Age in completed years","Number","Total","6,591",""
"1997","Hungary","Total","Age in completed years","Number","Total","2,822",""
"1997","Malta","Total","Age in completed years","Number","Total",":",""
"1997","Netherlands","Total","Age in completed years","Number","Total","62,220",""
"1997","Austria","Total","Age in completed years","Number","Total","68,585",""
"1997","Poland","Total","Age in completed years","Number","Total","20,222",""
"1997","Portugal","Total","Age in completed years","Number","Total","18,468",""
"1997","Romania","Total","Age in completed years","Number","Total",":",""
"1997","Slovenia","Total","Age in completed years","Number","Total","5,447",""
"1997","Slovakia","Total","Age in completed years","Number","Total","572",""
"1997","Finland","Total","Age in completed years","Number","Total","9,854",""
"1997","Sweden","Total","Age in completed years","Number","Total","38,543",""
"1997","United Kingdom","Total","Age in completed years","Number","Total",":",""
"1997","Iceland","Total","Age in completed years","Number","Total","3,921",""
"1997","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1997","Norway","Total","Age in completed years","Number","Total","21,257",""
"1997","Switzerland","Total","Age in completed years","Number","Total","98,521",""
"1997","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1997","Belarus","Total","Age in completed years","Number","Total",":",""
"1997","Moldova","Total","Age in completed years","Number","Total",":",""
"1997","Russia","Total","Age in completed years","Number","Total",":",""
"1997","San Marino","Total","Age in completed years","Number","Total",":",""
"1997","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1997","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1997","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1997","Armenia","Total","Age in completed years","Number","Total",":",""
"1997","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"1998","Belgium","Total","Age in completed years","Number","Total","72,087",""
"1998","Bulgaria","Total","Age in completed years","Number","Total",":",""
"1998","Czechia","Total","Age in completed years","Number","Total",":",""
"1998","Denmark","Total","Age in completed years","Number","Total","40,340",""
"1998","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","755,358",""
"1998","Estonia","Total","Age in completed years","Number","Total","2,507",""
"1998","Ireland","Total","Age in completed years","Number","Total","30,775",""
"1998","Greece","Total","Age in completed years","Number","Total","60,119",""
"1998","Spain","Total","Age in completed years","Number","Total",":",""
"1998","France","Total","Age in completed years","Number","Total",":",""
"1998","Croatia","Total","Age in completed years","Number","Total","7,310",""
"1998","Italy","Total","Age in completed years","Number","Total","45,889",""
"1998","Cyprus","Total","Age in completed years","Number","Total",":",""
"1998","Latvia","Total","Age in completed years","Number","Total","8,874",""
"1998","Lithuania","Total","Age in completed years","Number","Total","24,828",""
"1998","Luxembourg","Total","Age in completed years","Number","Total","7,574",""
"1998","Hungary","Total","Age in completed years","Number","Total","3,059","p"
"1998","Malta","Total","Age in completed years","Number","Total",":",""
"1998","Netherlands","Total","Age in completed years","Number","Total","60,441",""
"1998","Austria","Total","Age in completed years","Number","Total","64,272",""
"1998","Poland","Total","Age in completed years","Number","Total","22,177",""
"1998","Portugal","Total","Age in completed years","Number","Total","11,098",""
"1998","Romania","Total","Age in completed years","Number","Total",":",""
"1998","Slovenia","Total","Age in completed years","Number","Total","6,708",""
"1998","Slovakia","Total","Age in completed years","Number","Total","746",""
"1998","Finland","Total","Age in completed years","Number","Total","10,817",""
"1998","Sweden","Total","Age in completed years","Number","Total","38,518",""
"1998","United Kingdom","Total","Age in completed years","Number","Total","198,934",""
"1998","Iceland","Total","Age in completed years","Number","Total","3,682",""
"1998","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1998","Norway","Total","Age in completed years","Number","Total","22,881",""
"1998","Switzerland","Total","Age in completed years","Number","Total","94,778",""
"1998","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1998","Belarus","Total","Age in completed years","Number","Total",":",""
"1998","Moldova","Total","Age in completed years","Number","Total",":",""
"1998","Russia","Total","Age in completed years","Number","Total",":",""
"1998","San Marino","Total","Age in completed years","Number","Total",":",""
"1998","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1998","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1998","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1998","Armenia","Total","Age in completed years","Number","Total",":",""
"1998","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"1999","Belgium","Total","Age in completed years","Number","Total","74,097",""
"1999","Bulgaria","Total","Age in completed years","Number","Total",":",""
"1999","Czechia","Total","Age in completed years","Number","Total",":",""
